"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 17 09:45:46 IST 2021","Thu Jun 17 09:46:37 IST 2021","50444","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LIFE","Verify and search the pending place order for LIFE",""
"passed","Thu Jun 17 09:49:04 IST 2021","Thu Jun 17 09:50:05 IST 2021","60589",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LIFE","Verify the place order for LIFE",""
"passed","Thu Jun 17 09:43:42 IST 2021","Thu Jun 17 09:44:31 IST 2021","49029","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Create Carrier using mandatory fields","Create Carrier using mandatory fields",""
"passed","Thu Jun 17 09:48:41 IST 2021","Thu Jun 17 09:49:04 IST 2021","23521",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder legal in expert application","Verify the placeOrder legal in expert application",""
"passed","Thu Jun 17 09:47:45 IST 2021","Thu Jun 17 09:48:41 IST 2021","55256",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LEGAL","Verify the place order for LEGAL",""
"passed","Thu Jun 17 09:47:17 IST 2021","Thu Jun 17 09:47:40 IST 2021","23321","","Admin user E2E validation ","","Admin user E2E validation ","Verify the ordering office in expert application","Verify the ordering office in expert application",""
"passed","Thu Jun 17 09:44:31 IST 2021","Thu Jun 17 09:44:57 IST 2021","25887","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Validate the new created carrier details are available in eXpert","Validate the new created carrier details are available in eXpert",""
"passed","Thu Jun 17 09:50:05 IST 2021","Thu Jun 17 09:50:25 IST 2021","19821",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder life in expert application","Verify the placeOrder life in expert application",""
"passed","Thu Jun 17 09:45:02 IST 2021","Thu Jun 17 09:45:46 IST 2021","43938","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LEGAL","Verify and search the pending place order for LEGAL",""
"passed","Thu Jun 17 09:46:42 IST 2021","Thu Jun 17 09:47:17 IST 2021","34236","","Admin user E2E validation ","","Admin user E2E validation ","Validate the Admin Profile section","Validate the Admin Profile section",""
